country,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,trainer_aircraft,special_mission_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,power_index
Georgia,"4,900,961","$91,849,000,000 USD","$680,000,000 USD","$9,085,000,000 USD","2,744,538","37,000","205,500","3,000","205,500",0,"Stock: 61			
Readiness: 34*","Stock: 5 (8.2%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (3.3%)

Readiness: 1*","Stock: 44 (72.1%)

Readiness: 24*","Stock: 10 (16.4%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (18.0%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*",19,0,0,0,0,0,0,31,4,"Stock: 132				
Readiness: 73*","Stock: 67				
Readiness: 37*","Stock: 121				
Readiness: 67*","Stock: 42				
Readiness: 23*",2.0779
Liberia,"5,437,249","$9,308,000,000 USD","$20,700,000 USD","$1,335,000,000 USD","2,392,390","2,100",0,0,"2,100",300,"Stock: 0			
Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",6,0,0,0,0,0,0,6,0,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",3.9275
Benin,"14,697,052","$56,424,000,000 USD","$137,690,000 USD","$6,309,000,000 USD","5,584,880","4,750",0,300,"4,750",200,"Stock: 7			
Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (14.3%)

Readiness: 0*","Stock: 5 (71.4%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (14.3%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",2,0,0,0,0,0,0,2,0,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 16				
Readiness: 7*","Stock: 0				
Readiness: 0*",3.8963
Cuba,"10,966,038","$81,165,000,000 USD","$3,301,500,000 USD","$36,372,600,000 USD","5,921,661","50,000","40,000","4,120","90,000","3,550","Stock: 20			
Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (55.0%)

Readiness: 5*","Stock: 4 (20.0%)

Readiness: 2*","Stock: 13 (65.0%)

Readiness: 6*","Stock: 3 (15.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (20.0%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*",19,0,0,0,1,1,0,6,4,"Stock: 194				
Readiness: 107*","Stock: 140				
Readiness: 77*","Stock: 364				
Readiness: 200*","Stock: 200				
Readiness: 110*",1.3345
Vietnam,"105,758,975","$1,456,000,000,000 USD","$10,200,000,000 USD","$34,426,000,000 USD","54,994,667","450,000","5,000,000","35,000","5,450,000","50,000","Stock: 265			
Readiness: 146*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 61 (23.0%)

Readiness: 34*","Stock: 6 (2.3%)

Readiness: 3*","Stock: 101 (38.1%)

Readiness: 56*","Stock: 91 (34.3%)

Readiness: 50*","Stock: 3 (1.1%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",116,0,0,0,9,17,6,27,8,"Stock: 1,999				
Readiness: 1,199*","Stock: 30				
Readiness: 18*","Stock: 3,250				
Readiness: 1,950*","Stock: 774				
Readiness: 464*",0.4066
Denmark,"5,973,136","$440,558,000,000 USD","$14,250,000,000 USD","$611,050,000,000 USD","2,628,180","21,000","12,000","3,475","88,400","3,600","Stock: 122			
Readiness: 98*","Stock: 19 (15.6%)

Readiness: 15*","Stock: 26 (21.3%)

Readiness: 21*","Stock: 4 (3.3%)

Readiness: 3*","Stock: 34 (27.9%)

Readiness: 27*","Stock: 36 (29.5%)

Readiness: 29*","Stock: 3 (2.5%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",50,0,0,0,9,0,0,9,6,"Stock: 44				
Readiness: 33*","Stock: 19				
Readiness: 14*","Stock: 0				
Readiness: 0*","Stock: 8				
Readiness: 6*",0.8198
Bosnia And Herzegovina,"3,798,671","$64,641,000,000 USD","$289,920,000 USD","$5,359,000,000 USD","2,355,176","18,000","8,000","2,100","26,000",0,"Stock: 15			
Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 15 (100.0%)

Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",0,0,0,0,0,0,0,0,0,"Stock: 45				
Readiness: 29*","Stock: 0				
Readiness: 0*","Stock: 300				
Readiness: 195*","Stock: 24				
Readiness: 16*",3.1291
Mali,"21,990,607","$71,253,000,000 USD","$1,110,000,000 USD","$4,085,000,000 USD","6,817,088","40,000",0,550,"44,800",0,"Stock: 44			
Readiness: 18*","Stock: 12 (27.3%)

Readiness: 5*","Stock: 9 (20.5%)

Readiness: 4*","Stock: 8 (18.2%)

Readiness: 3*","Stock: 10 (22.7%)

Readiness: 4*","Stock: 4 (9.1%)

Readiness: 2*","Stock: 1 (2.3%)

Readiness: 0*","Stock: 8 (18.2%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 50				
Readiness: 23*","Stock: 30				
Readiness: 14*",2.2598
Slovakia,"5,563,649","$218,762,000,000 USD","$2,900,000,000 USD","$140,360,000,000 USD","2,837,461","20,982",0,"3,200","18,282",0,"Stock: 48			
Readiness: 31*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (14.6%)

Readiness: 5*","Stock: 7 (14.6%)

Readiness: 5*","Stock: 22 (45.8%)

Readiness: 14*","Stock: 11 (22.9%)

Readiness: 7*","Stock: 1 (2.1%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 45				
Readiness: 32*","Stock: 35				
Readiness: 25*","Stock: 9				
Readiness: 6*","Stock: 25				
Readiness: 18*",1.3911
Chad,"19,093,595","$52,895,000,000 USD","$706,800,000 USD","$2,286,000,000 USD","6,873,694","37,750",0,350,"37,750",0,"Stock: 40			
Readiness: 20*","Stock: 7 (17.5%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (17.5%)

Readiness: 4*","Stock: 16 (40.0%)

Readiness: 8*","Stock: 8 (20.0%)

Readiness: 4*","Stock: 2 (5.0%)

Readiness: 1*","Stock: 3 (7.5%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 90				
Readiness: 50*","Stock: 10				
Readiness: 6*","Stock: 13				
Readiness: 7*","Stock: 16				
Readiness: 9*",1.8594
China,"1,415,043,270","$33,598,000,000,000 USD","$303,000,000,000 USD","$488,114,000,000 USD","764,123,366","2,035,000","510,000","403,000","2,545,000","384,000","Stock: 3,529			
Readiness: 2,647*","Stock: 371 (10.5%)

Readiness: 278*","Stock: 1,443 (40.9%)

Readiness: 1,082*","Stock: 287 (8.1%)

Readiness: 215*","Stock: 1,007 (28.5%)

Readiness: 755*","Stock: 401 (11.4%)

Readiness: 301*","Stock: 105 (3.0%)

Readiness: 79*","Stock: 281 (8.0%)

Readiness: 211*","Stock: 9 (0.3%)

Readiness: 7*",841,3,4,53,46,50,61,150,36,"Stock: 5,870				
Readiness: 4,696*","Stock: 2,940				
Readiness: 2,352*","Stock: 1,400				
Readiness: 1,120*","Stock: 2,770				
Readiness: 2,216*",0.0919
Venezuela,"31,250,306","$110,943,000,000 USD","$6,060,000,000 USD","$121,363,000,000 USD","15,625,153","109,000","8,000","10,755","300,745","25,500","Stock: 224			
Readiness: 123*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 30 (13.4%)

Readiness: 17*","Stock: 47 (21.0%)

Readiness: 26*","Stock: 85 (37.9%)

Readiness: 47*","Stock: 75 (33.5%)

Readiness: 41*","Stock: 3 (1.3%)

Readiness: 2*","Stock: 10 (4.5%)

Readiness: 6*","Stock: 1 (0.4%)

Readiness: 1*",41,0,0,0,1,0,3,26,0,"Stock: 282				
Readiness: 169*","Stock: 60				
Readiness: 36*","Stock: 92				
Readiness: 55*","Stock: 56				
Readiness: 34*",0.9106
Eritrea,"6,343,956","$2,534,000,000 USD","$219,000,000 USD","$461,376,000 USD","2,220,385","350,000","680,000",250,"275,000","1,100","Stock: 20			
Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (5.0%)

Readiness: 0*","Stock: 5 (25.0%)

Readiness: 2*","Stock: 13 (65.0%)

Readiness: 5*","Stock: 1 (5.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (30.0%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*",23,0,0,0,0,0,0,18,0,"Stock: 148				
Readiness: 67*","Stock: 45				
Readiness: 20*","Stock: 89				
Readiness: 40*","Stock: 44				
Readiness: 20*",2.6841
United Arab Emirates,"10,032,213","$745,994,000,000 USD","$23,480,000,000 USD","$290,400,000,000 USD","5,818,684","65,000","130,000","7,000","44,000","3,000","Stock: 581			
Readiness: 349*","Stock: 40 (6.9%)

Readiness: 24*","Stock: 99 (17.0%)

Readiness: 59*","Stock: 35 (6.0%)

Readiness: 21*","Stock: 250 (43.0%)

Readiness: 150*","Stock: 151 (26.0%)

Readiness: 91*","Stock: 27 (4.6%)

Readiness: 16*","Stock: 30 (5.2%)

Readiness: 18*","Stock: 5 (0.9%)

Readiness: 3*",84,0,0,0,0,11,0,34,2,"Stock: 354				
Readiness: 212*","Stock: 165				
Readiness: 99*","Stock: 99				
Readiness: 59*","Stock: 49				
Readiness: 29*",1.0188
Gabon,"2,455,105","$48,045,000,000 USD","$340,950,000 USD","$6,442,000,000 USD","932,940","5,000",0,900,"4,500",400,"Stock: 25			
Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (24.0%)

Readiness: 3*","Stock: 3 (12.0%)

Readiness: 1*","Stock: 16 (64.0%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",5,0,0,0,0,0,0,4,0,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 4				
Readiness: 2*","Stock: 28				
Readiness: 15*",3.0432
Niger,"26,342,784","$47,921,000,000 USD","$488,400,000 USD","$3,793,000,000 USD","7,902,835","25,000",0,"1,250","10,000",0,"Stock: 26			
Readiness: 13*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (26.9%)

Readiness: 4*","Stock: 13 (50.0%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",2.6867
Tunisia,"12,048,847","$156,086,000,000 USD","$2,172,751,250 USD","$21,212,000,000 USD","6,024,424","89,800",0,"4,500","150,000","5,000","Stock: 155			
Readiness: 93*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (6.5%)

Readiness: 6*","Stock: 12 (7.7%)

Readiness: 7*","Stock: 101 (65.2%)

Readiness: 61*","Stock: 28 (18.1%)

Readiness: 17*","Stock: 4 (2.6%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",37,0,0,0,1,1,0,30,0,"Stock: 145				
Readiness: 87*","Stock: 0				
Readiness: 0*","Stock: 105				
Readiness: 63*","Stock: 0				
Readiness: 0*",1.7823
Colombia,"49,588,357","$978,024,000,000 USD","$15,800,000,000 USD","$108,027,000,000 USD","24,298,295","429,000","998,000","25,000","2,048,583","35,100","Stock: 430			
Readiness: 280*","Stock: 24 (5.6%)

Readiness: 16*","Stock: 16 (3.7%)

Readiness: 10*","Stock: 82 (19.1%)

Readiness: 53*","Stock: 255 (59.3%)

Readiness: 166*","Stock: 72 (16.7%)

Readiness: 47*","Stock: 27 (6.3%)

Readiness: 18*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (0.2%)

Readiness: 1*",213,0,0,0,9,2,4,158,0,"Stock: 0				
Readiness: 0*","Stock: 6				
Readiness: 4*","Stock: 110				
Readiness: 72*","Stock: 0				
Readiness: 0*",0.7551
Indonesia,"281,562,465","$4,102,000,000,000 USD","$11,155,297,716 USD","$225,273,000,000 USD","137,965,608","404,500","401,000","30,100","300,400","66,034","Stock: 460			
Readiness: 299*","Stock: 34 (7.4%)

Readiness: 22*","Stock: 41 (8.9%)

Readiness: 27*","Stock: 73 (15.9%)

Readiness: 47*","Stock: 212 (46.1%)

Readiness: 138*","Stock: 114 (24.8%)

Readiness: 74*","Stock: 15 (3.3%)

Readiness: 10*","Stock: 15 (3.3%)

Readiness: 10*","Stock: 1 (0.2%)

Readiness: 1*",338,0,0,0,10,26,4,211,10,"Stock: 331				
Readiness: 215*","Stock: 153				
Readiness: 99*","Stock: 396				
Readiness: 257*","Stock: 67				
Readiness: 44*",0.2582
Canada,"38,794,813","$2,341,000,000,000 USD","$45,824,959,620 USD","$2,571,113,270,000 USD","16,681,770","63,500","23,000","15,560","49,300","16,300","Stock: 354			
Readiness: 266*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 66 (18.6%)

Readiness: 50*","Stock: 29 (8.2%)

Readiness: 22*","Stock: 146 (41.2%)

Readiness: 110*","Stock: 95 (26.8%)

Readiness: 71*","Stock: 34 (9.6%)

Readiness: 26*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (1.7%)

Readiness: 5*",67,0,0,0,12,0,4,17,0,"Stock: 74				
Readiness: 56*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.5269
Saudi Arabia,"36,544,431","$2,213,000,000,000 USD","$63,988,055,520 USD","$248,171,000,000 USD","19,003,104","247,000",0,"30,000","75,000","13,500","Stock: 917			
Readiness: 596*","Stock: 81 (8.8%)

Readiness: 53*","Stock: 283 (30.9%)

Readiness: 184*","Stock: 49 (5.3%)

Readiness: 32*","Stock: 264 (28.8%)

Readiness: 172*","Stock: 202 (22.0%)

Readiness: 131*","Stock: 16 (1.7%)

Readiness: 10*","Stock: 34 (3.7%)

Readiness: 22*","Stock: 22 (2.4%)

Readiness: 14*",32,0,0,0,7,9,0,9,3,"Stock: 1,085				
Readiness: 705*","Stock: 380				
Readiness: 247*","Stock: 557				
Readiness: 362*","Stock: 327				
Readiness: 213*",0.4473
Belgium,"11,977,634","$749,229,000,000 USD","$14,900,000,000 USD","$1,594,190,730,000 USD","4,910,830","26,390","6,600","5,700","11,547","1,355","Stock: 104			
Readiness: 73*","Stock: 12 (11.5%)

Readiness: 8*","Stock: 44 (42.3%)

Readiness: 31*","Stock: 7 (6.7%)

Readiness: 5*","Stock: 14 (13.5%)

Readiness: 10*","Stock: 27 (26.0%)

Readiness: 19*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",9,0,0,0,2,0,0,2,5,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",1.2201
Ukraine,"35,661,826","$577,583,000,000 USD","$45,000,000,000 USD","$90,003,000,000 USD","18,187,531","900,000","4,000,000","35,000","250,000","11,000","Stock: 347			
Readiness: 191*","Stock: 30 (8.6%)

Readiness: 17*","Stock: 88 (25.4%)

Readiness: 48*","Stock: 22 (6.3%)

Readiness: 12*","Stock: 140 (40.3%)

Readiness: 77*","Stock: 72 (20.7%)

Readiness: 40*","Stock: 5 (1.4%)

Readiness: 3*","Stock: 39 (11.2%)

Readiness: 21*","Stock: 0 (0.0%)

Readiness: 0*",169,0,0,0,0,0,0,133,5,"Stock: 1,121				
Readiness: 729*","Stock: 682				
Readiness: 443*","Stock: 625				
Readiness: 406*","Stock: 288				
Readiness: 187*",0.3691
Malaysia,"34,564,810","$1,212,000,000,000 USD","$5,100,000,000 USD","$8,748,000,000 USD","16,245,461","113,000","51,600","15,000","130,000","18,000","Stock: 132			
Readiness: 79*","Stock: 11 (8.3%)

Readiness: 7*","Stock: 25 (18.9%)

Readiness: 15*","Stock: 15 (11.4%)

Readiness: 9*","Stock: 45 (34.1%)

Readiness: 27*","Stock: 31 (23.5%)

Readiness: 19*","Stock: 6 (4.5%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (3.0%)

Readiness: 2*",100,0,0,0,2,4,2,72,4,"Stock: 48				
Readiness: 29*","Stock: 0				
Readiness: 0*","Stock: 196				
Readiness: 118*","Stock: 36				
Readiness: 22*",0.7379
South Africa,"60,442,647","$870,420,000,000 USD","$2,877,000,000 USD","$93,879,000,000 USD","27,803,618","68,731","29,350","13,815","53,872","7,890","Stock: 181			
Readiness: 118*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (1.1%)

Readiness: 1*","Stock: 11 (6.1%)

Readiness: 7*","Stock: 87 (48.1%)

Readiness: 57*","Stock: 81 (44.8%)

Readiness: 53*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (5.5%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*",63,0,0,0,4,0,3,42,4,"Stock: 248				
Readiness: 161*","Stock: 52				
Readiness: 34*","Stock: 434				
Readiness: 282*","Stock: 201				
Readiness: 131*",0.6843
Kazakhstan,"20,260,006","$739,385,000,000 USD","$5,836,386,000 USD","$25,765,000,000 USD","9,117,003","110,000","135,000","12,000","80,000","3,000","Stock: 168			
Readiness: 101*","Stock: 13 (7.7%)

Readiness: 8*","Stock: 37 (22.0%)

Readiness: 22*","Stock: 21 (12.5%)

Readiness: 13*","Stock: 72 (42.9%)

Readiness: 43*","Stock: 25 (14.9%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 12 (7.1%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*",26,0,0,0,0,0,0,23,2,"Stock: 353				
Readiness: 212*","Stock: 126				
Readiness: 76*","Stock: 194				
Readiness: 116*","Stock: 287				
Readiness: 172*",1.0433
United Kingdom,"68,459,055","$3,636,000,000,000 USD","$88,526,529,585 USD","$10,553,123,900,000 USD","31,491,165","141,330","31,940","34,800","108,413","37,890","Stock: 625			
Readiness: 406*","Stock: 38 (6.1%)

Readiness: 25*","Stock: 103 (16.5%)

Readiness: 67*","Stock: 30 (4.8%)

Readiness: 20*","Stock: 262 (41.9%)

Readiness: 170*","Stock: 201 (32.2%)

Readiness: 131*","Stock: 29 (4.6%)

Readiness: 19*","Stock: 50 (8.0%)

Readiness: 33*","Stock: 9 (1.4%)

Readiness: 6*",116,2,0,6,7,0,10,26,8,"Stock: 288				
Readiness: 187*","Stock: 14				
Readiness: 9*","Stock: 126				
Readiness: 82*","Stock: 43				
Readiness: 28*",0.1881
El Salvador,"6,628,702","$73,961,000,000 USD","$1,037,200,000 USD","$12,668,000,000 USD","3,181,777","25,000",0,"2,000","20,500","2,000","Stock: 51			
Readiness: 28*","Stock: 15 (29.4%)

Readiness: 8*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (5.9%)

Readiness: 2*","Stock: 28 (54.9%)

Readiness: 15*","Stock: 10 (19.6%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",13,0,0,0,0,0,0,8,0,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 76				
Readiness: 49*","Stock: 0				
Readiness: 0*",2.9973
Dominican Republic,"10,815,857","$276,884,000,000 USD","$903,000,000 USD","$35,044,000,000 USD","4,975,294","89,000","189,000","6,730","28,750","13,200","Stock: 80			
Readiness: 40*","Stock: 8 (10.0%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (13.8%)

Readiness: 6*","Stock: 49 (61.3%)

Readiness: 25*","Stock: 17 (21.3%)

Readiness: 9*","Stock: 1 (1.3%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",34,0,0,0,0,0,0,14,0,"Stock: 6				
Readiness: 3*","Stock: 0				
Readiness: 0*","Stock: 14				
Readiness: 7*","Stock: 0				
Readiness: 0*",2.5853
Afghanistan,"40,121,552","$82,238,000,000 USD","$145,000,000 USD","$1,929,750,000 USD","15,647,405","75,000",0,0,"165,000",0,"Stock: 5			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (40.0%)

Readiness: 0*","Stock: 3 (60.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",2.7342
North Korea,"26,298,666","$15,416,000,000 USD","$4,750,000,000 USD","$6,050,000,000 USD","9,467,520","1,320,000","560,000","110,000","1,370,000","60,000","Stock: 837			
Readiness: 377*","Stock: 114 (13.6%)

Readiness: 51*","Stock: 341 (40.7%)

Readiness: 153*","Stock: 1 (0.1%)

Readiness: 0*","Stock: 205 (24.5%)

Readiness: 92*","Stock: 176 (21.0%)

Readiness: 79*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 20 (2.4%)

Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*",332,0,0,2,2,8,24,227,1,"Stock: 4,895				
Readiness: 2,448*","Stock: 1,300				
Readiness: 650*","Stock: 700				
Readiness: 350*","Stock: 1,500				
Readiness: 750*",0.5933
Iran,"88,386,937","$1,486,000,000,000 USD","$9,230,000,000 USD","$6,759,000,000 USD","49,496,685","610,000","350,000","37,000","350,000","20,000","Stock: 551			
Readiness: 303*","Stock: 21 (3.8%)

Readiness: 12*","Stock: 188 (34.1%)

Readiness: 103*","Stock: 86 (15.6%)

Readiness: 47*","Stock: 129 (23.4%)

Readiness: 71*","Stock: 103 (18.7%)

Readiness: 57*","Stock: 10 (1.8%)

Readiness: 6*","Stock: 13 (2.4%)

Readiness: 7*","Stock: 6 (1.1%)

Readiness: 3*",109,0,0,0,7,3,25,21,1,"Stock: 2,675				
Readiness: 1,605*","Stock: 424				
Readiness: 254*","Stock: 1,803				
Readiness: 1,082*","Stock: 1,550				
Readiness: 930*",0.3199
Burkina Faso,"23,042,199","$60,001,000,000 USD","$4,590,000,000 USD","$3,565,000,000 USD","8,525,614","7,500",0,300,"7,000",0,"Stock: 26			
Readiness: 8*","Stock: 3 (11.5%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 19 (73.1%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (7.7%)

Readiness: 1*","Stock: 5 (19.2%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 8				
Readiness: 3*","Stock: 9				
Readiness: 4*",2.9213
Cameroon,"30,966,105","$143,264,000,000 USD","$835,694,942 USD","$11,112,000,000 USD","10,528,476","38,000",0,420,"47,000","1,000","Stock: 35			
Readiness: 12*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (17.1%)

Readiness: 2*","Stock: 21 (60.0%)

Readiness: 7*","Stock: 6 (17.1%)

Readiness: 2*","Stock: 2 (5.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",19,0,0,0,0,0,0,19,0,"Stock: 0				
Readiness: 0*","Stock: 18				
Readiness: 10*","Stock: 52				
Readiness: 29*","Stock: 20				
Readiness: 11*",2.1689
Argentina,"46,994,384","$1,213,000,000,000 USD","$993,919,790 USD","$74,362,000,000 USD","20,677,529","108,000","12,370","14,000","108,000","18,370","Stock: 241			
Readiness: 133*","Stock: 11 (4.6%)

Readiness: 6*","Stock: 23 (9.5%)

Readiness: 13*","Stock: 25 (10.4%)

Readiness: 14*","Stock: 96 (39.8%)

Readiness: 53*","Stock: 71 (29.5%)

Readiness: 39*","Stock: 13 (5.4%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (0.8%)

Readiness: 1*",42,0,0,3,0,6,2,13,0,"Stock: 362				
Readiness: 199*","Stock: 20				
Readiness: 11*","Stock: 172				
Readiness: 95*","Stock: 27				
Readiness: 15*",0.5983
Sierra Leone,"9,121,049","$26,728,000,000 USD","$450,000,000 USD","$1,451,000,000 USD","2,006,631","13,000",0,175,"12,575",250,"Stock: 1			
Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (100.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",10,0,0,0,0,0,0,10,0,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",3.9201
Norway,"5,509,733","$507,680,000,000 USD","$11,189,483,200 USD","$787,758,400,000 USD","2,203,893","33,440","20,100","3,650","8,735","4,010","Stock: 109			
Readiness: 82*","Stock: 43 (39.4%)

Readiness: 32*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (3.7%)

Readiness: 3*","Stock: 34 (31.2%)

Readiness: 26*","Stock: 23 (21.1%)

Readiness: 17*","Stock: 5 (4.6%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",48,0,0,0,4,6,6,20,5,"Stock: 36				
Readiness: 25*","Stock: 28				
Readiness: 20*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.6679
