country,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,trainer_aircraft,special_mission_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,power_index
Uruguay,3425330.0,108502000000.0,1903440000.0,54450000000.0,1575652.0,24000.0,0.0,2850.0,15450.0,5700.0,43.0,6.0,0.0,6.0,12.0,12.0,5.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,62.0,16.0,83.0,4.0,2.1537
Romania,18148155.0,774376000000.0,10230630000.0,145200000000.0,9437041.0,90000.0,55000.0,11700.0,39250.0,6800.0,148.0,0.0,29.0,13.0,66.0,44.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,7.0,451.0,0.0,720.0,243.0,0.9558
Senegal,18847519.0,83183000000.0,777800000.0,14985000000.0,7162057.0,17000.0,0.0,1000.0,15460.0,500.0,39.0,0.0,0.0,5.0,19.0,22.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,6.0,2.8925
Sweden,10589835.0,668628000000.0,15900000000.0,1102693570000.0,4235934.0,25600.0,34000.0,8255.0,15300.0,2100.0,172.0,0.0,73.0,6.0,53.0,36.0,3.0,0.0,1.0,279.0,0.0,0.0,0.0,0.0,7.0,4.0,116.0,8.0,110.0,24.0,0.0,0.0,0.4834
Kosovo,1977093.0,25019000000.0,1177450000.0,785739000.0,917371.0,4000.0,5000.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8041
Peru,32600249.0,535911000000.0,2552000000.0,38102000000.0,15648120.0,120000.0,386000.0,12100.0,92500.0,26000.0,252.0,22.0,15.0,39.0,112.0,68.0,12.0,16.0,0.0,78.0,0.0,0.0,0.0,7.0,8.0,6.0,13.0,0.0,355.0,12.0,290.0,61.0,0.8827
Myanmar,57527139.0,287559000000.0,2815031361.0,8748000000.0,30489384.0,228000.0,19000.0,25000.0,255000.0,30000.0,331.0,20.0,70.0,33.0,86.0,120.0,5.0,9.0,0.0,239.0,0.0,0.0,0.0,6.0,3.0,3.0,146.0,2.0,1040.0,225.0,1680.0,1520.0,0.6265
Zambia,20799116.0,79207000000.0,385321000.0,16597000000.0,7279691.0,15150.0,0.0,3745.0,13250.0,0.0,78.0,0.0,0.0,13.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,12.0,60.0,50.0,2.4461
Laos,7953556.0,66905000000.0,355600000.0,9619000000.0,3499565.0,100000.0,30000.0,500.0,130000.0,2000.0,29.0,0.0,0.0,2.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,50.0,97.0,64.0,2.8672
Hungary,9855745.0,389207000000.0,5887250000.0,151250000000.0,4632200.0,41600.0,20000.0,5750.0,32000.0,0.0,80.0,0.0,12.0,3.0,50.0,17.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,24.0,295.0,0.0,1.0429
Italy,60964931.0,3133000000000.0,37325165000.0,3025000000000.0,27434219.0,165500.0,18300.0,43000.0,97755.0,30000.0,714.0,65.0,88.0,31.0,352.0,152.0,22.0,37.0,8.0,285.0,2.0,0.0,3.0,14.0,0.0,8.0,15.0,10.0,203.0,64.0,108.0,21.0,0.2211
Bulgaria,6782659.0,219645000000.0,2485350000.0,14277000000.0,3187850.0,36950.0,3000.0,8500.0,39950.0,4450.0,71.0,5.0,11.0,6.0,23.0,26.0,0.0,4.0,0.0,45.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,17.0,334.0,48.0,24.0,24.0,1.2522
Kenya,58246378.0,328632000000.0,1651803025.0,31451000000.0,21551160.0,50000.0,0.0,4175.0,50000.0,2500.0,154.0,0.0,17.0,21.0,84.0,30.0,2.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,188.0,18.0,53.0,0.0,1.8588
Uganda,49283041.0,144137000000.0,1510000000.0,10469000000.0,16756234.0,45000.0,0.0,1200.0,43800.0,0.0,51.0,0.0,6.0,3.0,30.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,6.0,26.0,12.0,2.3252
Switzerland,8860574.0,741035000000.0,8372658426.0,2420000000000.0,3898653.0,147178.0,0.0,20000.0,127178.0,0.0,141.0,0.0,40.0,16.0,39.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,133.0,0.0,0.0,0.8396
